turbine_id,date_measure,wind_speed,vibration_level,temperature,power_output,maintenance_done,failure_within_7d,time_to_failure_days,technician_id,planned_intervention_date
42,2024-04-29,13.51,3.75,38.3,882.6,1,0,25.6,107,2024-05-13
14,2024-06-08,19.63,2.02,26.8,1210.6,0,0,53.4,114,2024-07-06
32,2024-03-26,15.39,0.81,38.3,784.2,0,0,55.2,110,2024-04-23
9,2024-05-25,10.31,4.08,36.9,640.0,0,0,40.4,120,2024-06-22
38,2024-05-23,15.27,3.11,38.7,933.2,0,0,40.5,114,2024-06-03
36,2024-05-07,6.41,2.25,35.4,413.6,1,0,28.3,116,2024-05-09
18,2024-09-27,8.15,4.17,40.4,535.0,0,0,29.4,126,2024-10-04
4,2024-08-04,13.33,2.14,51.2,919.6,0,0,36.2,109,2024-08-11
49,2024-06-22,3.37,2.58,62.2,235.1,0,0,21.7,145,2024-06-25
23,2024-02-11,11.85,3.52,27.7,712.9,0,0,46.9,137,2024-03-03
45,2024-07-27,7.92,1.89,32.1,567.0,0,0,50.4,138,2024-08-12
34,2024-03-04,12.41,2.89,37.1,923.7,0,0,42.3,108,2024-03-25
39,2024-04-24,7.69,4.09,52.7,534.5,0,0,32.2,136,2024-04-30
38,2024-05-31,13.7,3.21,43.0,838.3,0,0,33.2,142,2024-06-21
10,2024-02-21,12.08,4.25,37.8,759.2,0,0,34.0,108,2024-02-23
19,2024-05-22,17.6,4.13,52.2,1076.6,0,0,33.5,138,2024-06-12
24,2024-04-07,12.03,3.01,54.6,723.1,0,0,29.7,118,2024-05-01
25,2024-11-06,8.93,0.66,44.8,708.7,0,0,62.0,140,2024-11-14
3,2024-11-09,11.01,1.89,36.8,600.8,0,0,51.8,124,2024-11-19
28,2024-01-02,6.62,3.76,47.7,489.8,0,0,36.5,140,2024-01-15
8,2024-08-07,13.62,1.45,42.7,807.4,0,0,54.5,107,2024-08-24
38,2024-08-21,14.36,2.67,42.6,743.1,0,0,41.9,119,2024-09-06
35,2024-05-17,21.88,3.34,39.9,1297.5,0,0,38.0,113,2024-05-21
47,2024-06-20,9.51,4.47,54.2,527.0,1,1,6.3,112,2024-07-01
38,2024-10-15,10.93,2.42,47.5,701.9,0,0,35.5,115,2024-10-30
19,2024-05-17,9.7,2.36,55.4,589.1,0,0,33.3,119,2024-06-04
49,2024-01-24,12.85,2.95,58.4,689.1,0,0,27.6,106,2024-02-12
21,2024-05-15,13.53,3.35,49.6,929.3,1,0,24.0,136,2024-06-04
17,2024-04-02,11.79,2.85,39.9,794.4,0,0,45.3,128,2024-04-16
46,2024-05-19,16.35,4.05,55.4,1107.6,0,0,32.8,142,2024-06-03
19,2024-03-24,9.53,2.2,49.7,590.9,1,0,15.4,135,2024-04-03
4,2024-02-24,15.94,3.12,71.0,953.8,0,0,11.6,107,2024-03-03
24,2024-12-25,14.15,3.45,48.1,905.5,0,0,31.4,103,2025-01-04
40,2024-02-17,11.95,2.6,52.0,670.9,0,0,40.8,121,2024-03-01
10,2024-09-14,10.74,3.84,47.9,654.8,0,0,30.2,124,2024-09-18
24,2024-09-18,21.71,3.15,44.0,1288.3,0,0,32.0,112,2024-09-25
7,2024-08-13,8.73,3.79,42.4,407.0,1,0,19.4,139,2024-08-17
35,2024-11-28,13.19,3.19,47.9,801.7,0,0,29.7,129,2024-12-10
24,2024-01-02,9.0,3.38,50.2,504.7,0,0,26.0,138,2024-01-17
17,2024-04-20,19.14,2.37,56.5,1129.1,1,0,25.6,105,2024-04-25
12,2024-03-08,15.55,2.37,48.1,961.9,0,0,37.9,141,2024-03-13
29,2024-07-29,9.29,4.22,40.4,659.0,0,0,35.0,110,2024-08-14
34,2024-08-19,14.05,3.64,41.7,775.1,0,0,36.4,122,2024-08-26
48,2024-11-23,13.03,1.98,31.8,754.9,0,0,47.1,122,2024-12-19
22,2024-05-18,9.93,3.18,61.6,534.8,0,0,20.3,141,2024-05-23
9,2024-03-27,15.03,0.63,39.6,835.5,0,0,55.0,114,2024-04-10
42,2024-12-03,13.56,2.43,54.7,765.9,0,0,35.1,112,2024-12-27
32,2024-09-02,12.86,3.96,47.8,756.1,0,0,35.7,117,2024-09-06
36,2024-10-06,11.83,2.87,48.0,756.8,0,0,40.1,118,2024-10-20
5,2024-06-11,13.72,3.12,43.8,849.1,0,0,33.4,109,2024-06-25
16,2024-06-12,12.92,0.0,37.1,690.5,0,0,64.0,108,2024-06-29
39,2024-05-22,12.24,2.61,35.3,837.7,0,0,46.3,111,2024-06-17
42,2024-09-30,9.44,3.34,62.3,641.7,0,0,19.6,123,2024-10-17
22,2024-03-17,18.78,3.47,46.1,1054.4,1,0,20.0,117,2024-03-28
41,2024-12-22,7.8,3.96,56.3,565.8,0,0,25.5,119,2025-01-03
43,2024-03-05,13.71,2.79,58.8,848.8,0,0,28.4,136,2024-03-24
20,2024-06-17,10.72,2.83,40.9,630.6,0,0,44.2,112,2024-06-26
45,2024-04-24,19.04,1.67,49.2,1170.9,0,0,39.2,146,2024-05-14
15,2024-08-22,8.39,2.8,45.5,501.1,0,0,46.8,138,2024-09-03
12,2024-09-05,9.06,1.74,33.4,587.1,0,0,41.9,108,2024-09-07
35,2024-12-01,8.12,1.15,43.1,502.2,0,0,52.9,116,2024-12-17
32,2024-10-15,13.29,1.91,50.9,770.6,0,0,41.3,109,2024-10-23
7,2024-03-31,6.51,4.51,40.0,228.4,1,0,20.5,113,2024-04-11
42,2024-03-16,10.09,2.73,41.8,647.3,1,0,24.4,118,2024-03-26
10,2024-11-19,3.39,3.22,43.3,173.5,1,0,27.7,106,2024-11-23
41,2024-06-27,12.96,2.49,66.1,839.9,0,0,23.8,100,2024-07-06
1,2024-02-05,10.0,1.21,26.7,638.5,0,0,48.0,122,2024-03-03
40,2024-10-28,6.05,3.94,50.0,335.1,0,0,24.0,135,2024-11-07
40,2024-08-24,16.34,0.83,42.5,1062.4,0,0,53.6,115,2024-09-15
40,2024-01-10,6.77,2.45,38.6,422.5,1,0,23.9,143,2024-01-22
34,2024-10-12,15.19,2.95,42.2,924.4,0,0,47.8,118,2024-10-14
24,2024-08-09,9.2,3.23,51.7,540.7,0,0,35.5,145,2024-09-03
36,2024-08-12,18.41,2.27,52.2,1239.1,0,0,43.9,112,2024-09-08
14,2024-11-11,15.0,1.16,46.9,842.8,1,0,39.4,127,2024-11-18
40,2024-06-29,7.97,2.2,55.9,452.3,0,0,32.7,138,2024-07-04
28,2024-06-17,8.33,2.25,57.7,400.9,0,0,28.9,103,2024-07-14
23,2024-08-13,14.42,2.23,53.2,923.5,0,0,25.4,147,2024-08-16
26,2024-03-13,10.95,3.97,39.5,610.5,0,0,34.6,118,2024-04-08
29,2024-02-25,11.32,1.79,49.9,641.8,0,0,48.4,125,2024-03-02
2,2024-11-03,17.09,3.3,50.0,984.0,0,0,28.9,132,2024-11-29
7,2024-03-19,9.01,3.16,36.8,545.3,0,0,40.2,132,2024-04-16
13,2024-07-03,12.37,3.96,29.3,641.8,0,0,34.0,101,2024-07-10
6,2024-04-08,15.82,2.87,24.8,769.7,0,0,44.3,144,2024-04-15
22,2024-03-25,15.24,3.79,45.7,950.8,0,0,37.8,131,2024-03-29
34,2024-08-06,11.36,2.83,48.0,512.6,0,0,30.5,150,2024-08-29
33,2024-10-19,10.84,3.43,33.2,719.0,0,0,34.0,124,2024-10-30
24,2024-06-10,5.04,1.5,55.5,427.4,0,0,44.6,131,2024-06-29
43,2024-02-20,7.78,0.36,46.5,453.4,0,0,55.5,122,2024-03-09
29,2024-03-30,13.27,3.38,58.5,900.4,0,0,23.9,145,2024-04-15
4,2024-03-01,11.45,3.43,48.7,685.0,0,0,39.3,142,2024-03-09
39,2024-11-18,12.3,3.48,34.3,865.9,0,0,33.7,146,2024-11-29
29,2024-04-26,16.16,2.48,49.6,932.9,1,0,26.2,125,2024-05-11
32,2024-05-16,7.25,4.49,51.7,245.9,1,0,8.4,140,2024-05-19
29,2024-01-26,11.06,2.54,39.5,656.9,0,0,47.2,118,2024-02-07
28,2024-06-11,12.75,3.42,30.6,901.9,0,0,29.9,123,2024-07-02
5,2024-11-29,9.18,3.59,46.0,593.8,0,0,32.6,138,2024-12-12
28,2024-05-29,17.73,4.72,35.0,1022.3,1,0,19.6,104,2024-06-10
40,2024-08-25,15.63,2.68,56.2,964.4,0,0,30.7,136,2024-09-19
16,2024-03-07,13.16,2.35,40.9,867.3,0,0,50.2,100,2024-03-23
31,2024-02-22,19.18,1.5,62.2,1143.8,0,0,38.1,129,2024-03-15
2,2024-09-24,6.0,4.55,23.8,570.4,0,0,28.9,124,2024-09-26
18,2024-01-24,11.97,3.42,46.3,676.8,0,0,37.7,123,2024-02-20
22,2024-06-12,13.47,3.45,59.3,888.1,0,0,19.9,125,2024-07-05
50,2024-04-25,8.34,6.12,36.1,561.5,0,0,23.5,125,2024-05-19
11,2024-01-06,13.2,3.33,43.4,736.2,1,0,24.9,120,2024-01-27
14,2024-07-12,7.57,1.7,41.0,420.5,0,0,45.7,123,2024-07-28
21,2024-12-17,14.76,2.8,38.2,967.2,1,0,31.3,128,2025-01-02
50,2024-01-26,16.23,2.03,47.4,985.5,0,0,39.9,138,2024-02-14
43,2024-10-24,13.09,2.6,32.0,812.4,0,0,42.1,128,2024-11-08
2,2024-07-15,4.59,2.6,43.9,144.5,1,0,29.1,132,2024-08-06
12,2024-09-21,8.13,2.41,50.2,540.4,1,0,19.1,142,2024-10-01
42,2024-02-05,14.26,1.61,42.8,878.5,0,0,44.5,150,2024-02-28
3,2024-11-13,12.08,4.59,35.0,720.0,1,0,21.6,105,2024-11-23
43,2024-01-05,1.22,3.3,55.3,102.3,0,0,28.4,136,2024-01-19
15,2024-11-26,16.97,2.77,52.3,985.5,0,0,27.7,111,2024-11-28
46,2024-08-28,12.55,3.76,34.6,705.4,0,0,40.9,110,2024-09-24
15,2024-05-03,8.72,3.47,32.1,504.1,1,0,22.5,140,2024-05-23
22,2024-01-03,15.98,3.28,35.5,921.7,0,0,34.7,103,2024-01-11
34,2024-08-10,9.29,3.68,50.5,731.8,1,1,4.5,143,2024-08-12
7,2024-02-01,9.25,3.13,47.8,627.7,0,0,38.6,139,2024-02-26
28,2024-08-10,13.43,3.67,52.9,728.5,0,0,24.2,150,2024-08-11
26,2024-10-09,19.12,3.75,41.7,1310.4,0,0,31.1,134,2024-10-23
40,2024-04-07,18.49,3.16,35.8,1075.0,0,0,43.6,144,2024-04-08
50,2024-03-28,13.44,2.78,54.2,808.7,0,0,35.2,106,2024-04-18
34,2024-03-22,13.85,4.53,39.5,902.8,1,0,14.7,145,2024-03-28
21,2024-03-23,15.17,2.52,46.9,752.4,0,0,43.0,108,2024-04-05
21,2024-02-11,6.97,3.39,29.5,399.4,1,0,32.9,116,2024-02-28
21,2024-04-01,14.58,3.41,39.3,828.7,0,0,44.9,106,2024-04-12
41,2024-08-28,9.06,2.39,55.1,560.2,0,0,38.3,120,2024-09-17
17,2024-04-20,13.27,2.19,37.8,826.0,1,0,33.1,138,2024-05-05
9,2024-10-12,11.09,2.65,53.1,659.2,0,0,31.8,113,2024-10-25
17,2024-10-26,14.0,2.51,21.7,830.4,0,0,44.7,141,2024-11-05
2,2024-10-04,12.47,1.54,39.4,833.6,0,0,52.5,130,2024-10-16
6,2024-07-15,0.0,2.35,43.3,24.1,0,0,38.2,132,2024-07-25
5,2024-04-25,12.72,3.27,62.4,766.2,0,0,19.4,147,2024-05-12
39,2024-12-05,14.57,4.27,33.3,885.9,0,0,28.7,122,2024-12-28
37,2024-03-15,13.78,3.55,51.7,973.9,0,0,30.2,117,2024-04-02
35,2024-06-18,11.59,0.4,55.6,709.2,1,0,30.5,150,2024-06-19
24,2024-06-14,18.57,3.64,37.8,1073.0,1,0,20.5,128,2024-07-09
36,2024-09-29,13.25,2.44,41.3,642.0,0,0,47.6,131,2024-10-22
9,2024-07-18,13.75,3.45,46.4,710.3,1,0,15.0,115,2024-08-11
46,2024-10-18,16.18,2.99,30.2,933.3,0,0,39.3,110,2024-10-20
26,2024-12-01,13.45,2.81,40.4,798.4,0,0,45.9,108,2024-12-25
47,2024-05-22,8.41,2.9,57.8,460.0,0,0,32.1,111,2024-06-05
8,2024-11-15,2.25,2.98,50.2,162.9,1,0,15.8,109,2024-12-10
25,2024-03-02,10.09,4.34,43.4,560.0,1,0,17.1,138,2024-03-25
35,2024-11-30,15.04,2.98,46.1,829.5,0,0,34.1,102,2024-12-26
25,2024-03-05,10.59,4.09,50.8,684.3,0,0,26.1,132,2024-03-09
23,2024-11-06,15.2,3.94,52.7,1021.8,0,0,26.8,148,2024-11-23
9,2024-05-22,12.59,3.67,39.4,667.1,0,0,40.2,139,2024-06-13
20,2024-12-18,17.15,1.21,60.3,1048.6,0,0,37.7,120,2025-01-05
12,2024-02-17,10.82,4.12,58.2,496.7,0,0,21.9,103,2024-03-12
16,2024-06-18,13.87,2.54,51.8,714.3,0,0,31.0,142,2024-07-10
35,2024-11-25,14.02,3.72,36.6,794.3,0,0,39.3,100,2024-11-27
32,2024-01-18,18.01,2.03,34.8,1171.2,0,0,50.0,134,2024-01-24
31,2024-04-06,5.17,1.81,41.7,248.1,0,0,50.5,134,2024-04-25
19,2024-01-31,10.17,4.98,45.6,544.7,0,0,22.8,109,2024-02-11
48,2024-04-27,15.39,2.04,27.3,926.5,0,0,51.4,137,2024-05-08
5,2024-05-22,18.18,4.15,49.9,1094.0,0,0,21.9,108,2024-06-18
18,2024-08-13,12.96,3.12,57.9,714.8,0,0,25.3,111,2024-08-16
6,2024-04-04,10.83,2.58,50.8,808.6,0,0,34.8,141,2024-04-20
17,2024-02-27,15.03,2.96,38.2,880.5,0,0,37.2,149,2024-03-08
49,2024-03-03,15.47,1.7,37.1,937.6,1,0,33.6,113,2024-03-05
19,2024-12-08,10.56,2.99,48.0,601.5,0,0,36.6,146,2024-12-19
46,2024-12-13,13.32,1.92,43.5,834.5,0,0,38.4,146,2024-12-25
25,2024-03-21,16.72,2.6,49.4,1102.1,0,0,35.2,139,2024-04-04
35,2024-03-12,19.56,3.93,51.0,1306.8,0,0,20.6,107,2024-03-17
23,2024-01-20,14.97,3.25,55.9,837.2,0,0,35.9,115,2024-02-11
14,2024-12-16,12.18,1.52,33.7,818.7,0,0,51.7,134,2024-12-27
39,2024-09-14,11.78,3.85,47.2,751.0,1,0,16.6,150,2024-10-01
49,2024-10-04,14.23,2.99,41.4,931.7,0,0,41.9,141,2024-10-20
14,2024-04-16,11.54,2.46,44.0,684.9,0,0,44.5,121,2024-05-03
39,2024-08-21,12.76,3.75,53.6,750.6,0,0,30.5,111,2024-09-05
14,2024-01-22,7.77,2.83,54.7,541.0,0,0,25.0,148,2024-01-31
36,2024-09-03,17.19,1.83,59.0,1107.7,0,0,39.0,114,2024-09-18
40,2024-07-30,7.44,4.85,49.3,571.6,0,0,28.5,117,2024-08-15
23,2024-04-30,10.27,2.98,43.9,632.2,0,0,38.7,149,2024-05-01
37,2024-09-16,12.39,2.92,42.5,734.9,0,0,40.0,128,2024-10-07
14,2024-08-23,19.96,2.59,27.7,1001.0,1,0,17.0,113,2024-09-05
4,2024-06-09,10.31,4.18,58.4,489.7,0,0,15.2,100,2024-06-18
5,2024-03-09,9.34,2.48,41.8,528.6,0,0,45.8,121,2024-03-10
23,2024-01-09,9.8,1.46,50.1,499.7,0,0,48.0,150,2024-01-18
46,2024-12-08,18.64,2.32,51.8,1183.3,0,0,39.6,122,2024-12-20
7,2024-04-12,0.75,4.33,32.5,0.0,0,0,33.7,135,2024-05-07
23,2024-04-20,7.99,3.83,35.8,439.2,0,0,44.7,112,2024-05-09
36,2024-09-05,22.93,2.74,60.5,1338.5,0,0,31.2,139,2024-09-18
11,2024-04-03,14.36,4.37,47.9,958.2,0,0,25.9,139,2024-04-07
37,2024-05-17,7.58,3.75,39.2,405.9,0,0,46.2,131,2024-05-25
16,2024-09-16,11.83,2.73,43.7,746.1,0,0,36.2,139,2024-10-13
41,2024-08-05,12.27,2.83,55.9,751.8,0,0,24.4,129,2024-08-09
29,2024-08-27,15.38,3.33,54.3,995.3,0,0,26.9,119,2024-09-15
28,2024-01-02,19.36,2.17,30.3,1229.5,0,0,44.0,137,2024-01-17
9,2024-06-13,13.55,3.0,61.3,810.6,1,0,8.4,142,2024-06-20
24,2024-06-22,9.84,3.31,54.7,454.7,0,0,31.6,142,2024-07-18
43,2024-08-18,15.15,1.31,43.5,890.4,0,0,49.2,110,2024-08-30
1,2024-02-25,9.21,2.81,33.1,550.8,0,0,43.1,134,2024-03-16
38,2024-02-28,7.87,2.7,55.5,494.9,0,0,31.6,100,2024-03-02
25,2024-10-05,4.96,4.03,49.8,238.6,0,0,18.8,129,2024-11-03
36,2024-09-02,5.74,1.16,30.4,435.6,0,0,47.0,129,2024-09-03
34,2024-10-23,8.41,2.62,42.7,505.9,0,0,40.6,118,2024-11-02
22,2024-04-08,7.29,2.52,76.3,363.7,0,0,12.5,150,2024-05-05
16,2024-12-30,13.25,3.96,45.2,758.5,0,0,31.2,145,2025-01-18
32,2024-04-09,7.2,2.96,37.6,586.4,1,0,32.9,101,2024-04-29
8,2024-08-25,0.0,4.8,34.9,53.2,0,0,30.9,110,2024-09-04
30,2024-02-29,7.82,3.66,62.7,553.3,0,0,14.6,110,2024-03-23
5,2024-12-01,10.11,2.59,53.5,523.4,0,0,30.5,145,2024-12-29
33,2024-05-01,9.58,3.24,59.1,519.6,0,0,32.1,126,2024-05-20
32,2024-10-19,18.08,2.65,47.5,1030.2,0,0,44.3,137,2024-10-26
5,2024-04-30,9.55,3.86,57.5,587.5,0,0,25.2,141,2024-05-27
38,2024-10-15,15.52,1.67,36.5,917.5,0,0,43.7,139,2024-10-16
21,2024-06-14,11.92,2.18,46.6,676.3,0,0,42.9,104,2024-07-10
40,2024-01-23,11.83,3.46,47.9,680.7,1,0,19.5,107,2024-01-24
3,2024-03-10,8.66,4.23,58.8,456.0,0,0,19.7,120,2024-03-12
9,2024-09-06,11.76,0.8,48.2,691.5,1,0,31.4,117,2024-09-08
25,2024-03-11,8.94,4.37,38.7,625.4,0,0,32.3,138,2024-03-17
10,2024-04-10,12.68,2.86,45.6,639.8,0,0,35.8,107,2024-05-02
17,2024-07-16,11.06,1.12,28.2,691.0,0,0,48.7,118,2024-07-28
34,2024-04-02,8.22,0.0,21.8,603.7,0,0,65.5,112,2024-04-05
8,2024-02-17,15.97,1.47,53.3,943.4,0,0,44.1,109,2024-02-27
34,2024-08-15,13.71,2.98,41.3,780.1,0,0,40.0,108,2024-09-13
6,2024-09-08,10.21,2.93,42.4,686.4,0,0,41.9,109,2024-09-24
9,2024-09-24,12.58,3.63,53.3,676.2,0,0,29.1,128,2024-10-16
30,2024-12-10,11.66,2.45,59.0,698.1,0,0,39.5,120,2024-12-18
40,2024-02-15,8.53,1.89,50.3,428.6,1,0,28.9,122,2024-03-02
9,2024-06-04,12.28,2.59,64.3,587.3,0,0,28.4,124,2024-06-28
15,2024-03-26,9.52,3.03,50.0,558.8,0,0,33.9,137,2024-04-15
47,2024-11-24,8.22,3.23,48.0,392.1,1,0,17.5,143,2024-11-25
50,2024-07-16,5.51,2.21,47.4,329.6,0,0,46.3,126,2024-08-03
30,2024-02-05,10.57,3.9,32.1,723.1,0,0,39.2,132,2024-02-28
23,2024-09-09,14.27,2.38,54.6,1004.4,0,0,30.8,137,2024-09-13
18,2024-01-16,9.22,2.13,20.5,560.8,1,0,34.0,135,2024-01-28
31,2024-04-10,22.08,2.46,39.1,1406.5,0,0,48.6,106,2024-04-29
30,2024-09-20,15.54,4.07,45.2,964.5,0,0,23.0,150,2024-09-21
15,2024-07-03,17.22,2.87,37.1,1002.4,0,0,39.1,108,2024-07-24
2,2024-10-04,15.18,2.31,40.5,756.9,0,0,47.2,121,2024-10-29
8,2024-07-27,19.41,3.93,63.4,1294.8,0,0,10.0,133,2024-08-12
48,2024-11-03,8.85,5.14,56.0,447.2,1,1,1.0,120,2024-11-16
21,2024-07-24,1.76,3.21,38.1,216.0,0,0,39.7,112,2024-07-27
25,2024-01-21,10.22,4.23,40.3,655.9,0,0,36.3,147,2024-02-12
24,2024-01-27,14.23,4.04,32.2,775.9,0,0,37.9,103,2024-02-24
40,2024-10-10,12.61,2.39,52.0,781.3,0,0,42.3,112,2024-11-05
4,2024-01-15,13.1,3.03,42.5,956.7,0,0,40.2,150,2024-01-31
5,2024-05-17,17.28,1.72,25.3,1159.9,0,0,48.2,137,2024-05-18
14,2024-01-06,13.53,2.8,46.0,770.7,0,0,33.2,104,2024-01-15
25,2024-04-20,15.2,2.37,49.4,854.8,0,0,36.7,138,2024-04-28
34,2024-08-05,8.24,2.6,54.6,502.5,0,0,35.5,149,2024-08-06
25,2024-03-04,7.62,2.25,44.3,443.9,0,0,46.1,104,2024-03-08
23,2024-06-19,18.46,2.71,41.3,1203.4,0,0,43.8,121,2024-07-06
47,2024-12-29,12.4,3.53,64.9,803.4,0,0,21.1,123,2025-01-01
9,2024-01-26,9.51,2.88,45.1,435.0,1,0,28.8,106,2024-01-28
29,2024-01-24,9.51,1.14,52.2,607.6,1,0,28.7,110,2024-02-21
28,2024-04-09,9.4,2.25,39.6,549.9,0,0,51.9,108,2024-04-27
24,2024-10-28,9.16,1.48,51.9,552.8,0,0,38.7,109,2024-11-21
41,2024-05-28,6.87,3.24,30.4,432.0,0,0,40.2,120,2024-06-05
14,2024-08-21,6.0,3.5,40.4,455.8,0,0,36.8,123,2024-09-01
48,2024-01-13,11.22,3.26,32.9,751.4,0,0,43.6,112,2024-01-31
17,2024-09-25,9.63,2.21,39.0,517.7,0,0,42.7,114,2024-10-15
28,2024-01-25,16.43,3.25,57.5,981.0,1,0,10.2,109,2024-02-05
27,2024-09-16,13.17,2.53,38.9,754.5,0,0,37.4,140,2024-10-13
43,2024-02-23,13.06,1.86,52.2,649.1,0,0,41.5,110,2024-03-15
22,2024-11-09,9.03,3.74,60.2,532.9,1,0,11.4,146,2024-11-16
15,2024-04-18,11.52,3.82,44.7,838.5,0,0,37.0,127,2024-04-21
2,2024-03-08,13.44,3.95,54.9,669.7,0,0,27.6,140,2024-03-09
19,2024-05-02,14.86,2.39,50.3,890.0,0,0,40.8,132,2024-05-27
42,2024-01-01,11.62,4.18,46.2,693.0,1,0,17.8,113,2024-01-25
1,2024-03-01,16.32,2.51,52.5,1002.0,1,0,22.4,130,2024-03-15
45,2024-08-06,12.03,3.65,63.4,644.9,0,0,22.1,113,2024-08-27
28,2024-04-19,15.17,2.49,38.6,796.3,0,0,42.4,106,2024-05-15
8,2024-05-09,10.04,2.78,35.4,492.1,1,0,27.5,112,2024-05-14
16,2024-10-21,4.75,0.58,34.8,391.5,1,0,41.8,114,2024-11-19
28,2024-02-15,13.07,2.7,54.9,705.8,0,0,30.5,106,2024-03-01
16,2024-05-24,14.9,3.09,56.3,854.1,0,0,22.2,101,2024-06-06
6,2024-03-08,14.3,2.59,39.6,1026.5,1,0,24.5,148,2024-03-13
34,2024-06-25,13.69,4.76,23.6,762.6,0,0,32.4,126,2024-07-15
34,2024-05-01,10.61,1.84,38.3,663.7,0,0,52.6,120,2024-05-19
6,2024-01-17,8.77,2.44,50.5,611.5,0,0,37.0,147,2024-01-18
15,2024-01-26,14.21,2.1,44.3,933.7,0,0,55.0,111,2024-02-14
13,2024-11-07,13.71,2.44,46.8,715.8,0,0,36.3,120,2024-11-12
33,2024-01-21,9.76,4.03,39.8,528.3,0,0,37.6,143,2024-01-30
37,2024-10-12,16.44,4.48,55.1,1010.5,1,0,11.2,132,2024-10-30
37,2024-11-30,8.47,2.3,48.4,662.4,0,0,43.7,120,2024-12-23
47,2024-06-19,9.67,2.28,50.9,519.0,0,0,40.3,113,2024-06-23
39,2024-04-23,18.55,1.84,46.6,1073.3,0,0,48.0,101,2024-05-07
17,2024-10-10,15.47,4.31,50.2,962.0,0,0,26.2,104,2024-10-19
6,2024-12-24,10.57,4.12,49.6,683.7,1,0,19.3,108,2025-01-14
31,2024-02-13,13.15,2.89,35.7,843.4,0,0,47.8,140,2024-03-09
46,2024-12-17,12.62,1.6,48.7,689.4,0,0,40.0,132,2025-01-05
49,2024-12-10,1.02,1.69,52.9,18.5,0,0,40.8,122,2025-01-03
12,2024-02-22,8.37,3.17,56.6,519.7,0,0,21.5,139,2024-03-07
12,2024-01-20,11.8,3.55,49.2,808.8,1,0,22.5,108,2024-02-07
2,2024-09-17,10.57,0.93,35.3,615.3,0,0,55.3,110,2024-09-26
8,2024-01-29,12.99,2.68,36.9,777.5,1,0,34.3,120,2024-02-27
